NAME*,CODE*,code,DESCRIPTION,tasks,attachment,DOC_NAME_PAGE
As required - Maintenance - AZIPOD Steeringmodul SB,A2000-2670,2670,"1. Inspect slewing bearing with high frequency vibration analysis (Slewing Bearing /ABB)
2. Replace parts related to torque pin connection (Slip Ring Unit)
3. Replace Slip Ring Unit cooling fan(s) 
4. Replace carbon brushes /Slip Ring Unit / ABB)
5. Replace RFJ (Slip Ring Unit / ABB)


","['inspect slewing bearing with high frequency vibration analysis', 'replace parts related to torque pin connection', 'replace slip ring unit cooling fan', 'replace carbon brushes /slip ring unit / abb', 'replace rfj']",,
1 Monthly - Maintenance - AZIPOD Steeringmodul SB,A2001-2670-C,2670,"1. Check oil level of the planetary gears (Steering Gear) (3AFV6088289) 
2. Check that there are no leakages (Steering Gear) (3AFV6088289)","['check oil level of the planetary gears (3afv', 'check that there are no leakages (3afv']",,
3 Monthly - Maintenance - AZIPOD Steeringmodul SB,A2002-2670-C,2670,"1. Check the condition of grease pipes and divider block indication pins (3AFV6088336)
2. Keep steering module clean 
3. Inspect for the possible leakage of main sealing (Slewing Bearing) (3AFV6088330)
4. Re-grease pinion bearing (Steering Gear) (3AFV6088289)
5.Visual inspection for the complete Slip Ring Unit (3AFV6108882)
6. Check the temperature stickers inside Slip Ring Unit (3AFV6108882)
7. Check the torque pin connection (SRU - torque tube  interface) (3AFV6108882)
8. Check the condition of cables and cable connections (Slip Ring Unit) (3AFV6108882)
9. Check the condition of rotary fluid joint (Slip Ring Unit) (3AFV6108882)
10. Check leakage channel of RFJ (Slip Ring Unit) (3AFV6108882)
11. Check the condition of cooling fans (Slip Ring Unit) (3AFV6108882)
12. Clean or change Slip Ring Units outlet filters (3AFV6108882)
13. Clean or replace Slip Ring Units cooling fan filters (3AFV6108882)
14. Check the resolver unit for backlash or play (Slip Ring Unit) (3AFV6108882)
15. Steering angle feedback system lubricating (Slip Ring Unit) (3AFV6108882)","['check the condition of grease pipes and divider block indication pins (3afv', 'keep steering module clean', 'inspect for the possible leakage of main sealing (3afv', 're-grease pinion bearing (3afv', 'visual inspection for the complete slip ring unit (3afv', 'check the temperature stickers inside slip ring unit (3afv', 'check the torque pin connection (3afv', 'check the condition of cables and cable connections (3afv', 'check the condition of rotary fluid joint (3afv', 'check leakage channel of rfj (3afv', 'check the condition of cooling fans (3afv', 'clean or change slip ring units outlet filters (3afv', 'clean or replace slip ring units cooling fan filters (3afv', 'check the resolver unit for backlash or play (3afv', 'steering angle feedback system lubricating (3afv']",DOC-00000207,Task: 'keep steering module clean' - Manual: 3AFV6088343C_Slewing Sealing Manual Greasing.pdf (ID: DOC-00000207) - Pages: 4
168 Hour/3 Monthly - Maintenance - AZIPOD Steeringmodul SB,A2003-2670-C,2670,1. Re-grease slewing bearing (3AFV6088330),['re-grease slewing bearing (3afv'],,
2000/3 Monthly Hour - Maintenance - AZIPOD Steeringmodul SB,A2141-2670-C,2670,"1. Add grease to main slip ring bearing (3AFV6108882)
2. Clean all excess grease inside and under of Slip Ring Unit (3AFV6108882)","['add grease to main slip ring bearing (3afv', 'clean all excess grease inside and under of slip ring unit (3afv']",,
12 Monthly - Maintenance - AZIPOD Steeringmodul SB,A2004-2670-C,2670,"1. Remove used grease from interspace (Slewing Bearing) (3AFV6088330)
2. Check the sealing system (Slewing Bearing) (3AFV6117117)
3. Visually check the bolt connections (Steering Gear) (3AFV6088289)
4. Check the condition and clean slip rings (Slip Ring Unit) (3AFV6108882 )
5. Check the condition and clean carbon brushes (Slip Ring Unit) (3AFV6108882)
6. Check the condition of vertical conductor bars (Slip Ring Unit) (3AFV6108882)
7. Check the condition of isolators (Slip Ring Unit) (3AFV6108882)
8. Perform insulation resistance test for main motor circuit (Slip Ring Unit) (3AFV6119611)
9. Check the setting of the cooling fan thermostat (Slip Ring Unit) (3AFV6108882)
10. Check the condition of the cabinet heater (Slip Ring Unit) (3AFV6108882)
","['remove used grease from interspace (3afv', 'check the sealing system (3afv', 'visually check the bolt connections (3afv', 'check the condition and clean slip rings', 'check the condition and clean carbon brushes (3afv', 'check the condition of vertical conductor bars (3afv', 'check the condition of isolators (3afv', 'perform insulation resistance test for main motor circuit (3afv', 'check the setting of the cooling fan thermostat (3afv', 'check the condition of the cabinet heater (3afv']",DOC-00000221,Task: 'visually check the bolt connections (3afv' - Manual: 3AFV6130289B_JB1 Maintenance.pdf (ID: DOC-00000221) - Pages: 6
Once After 100 Hour - Maintenance - AZIPOD Steeringmodul SB,A2005-2670-S,2670,1. Change planetary gear lubricant oil (Steering Gear) (3AFV6088289),['change planetary gear lubricant oil (3afv'],,
2000 Hour/12 Monthly - Maintenance - AZIPOD Steeringmodul SB,A2006-2670-S,2670,"1. Change planetary gear lubricant oil (Steering Gear) (3AFV6088289)
2. Check magnet plug (Steering Gear) (3AFV6088289)","['change planetary gear lubricant oil (3afv', 'check magnet plug (3afv']",,
30 Monthly - Maintenance - AZIPOD Steeringmodul SB,A2007-2670-C,2670,"1. Visually inspect the condition of gearing (Slewing Bearing) (3AFV6088330)
2. Visually check the bolt connection (Slewing Bearing)(3AFV6088330)
3. Axial reduction measurement (Slewing Bearing / ABB) (3AFV6088330)
4. Tilting clearance measurement (Slewing Bearing / ABB) (3AFV6088330)
5. Visually check pinion condition (Steering Gear) (3AFV6088289)
6. Check pinion tooth clearance and backlash (Steerig Gear) (3AFV6088289)

","['visually inspect the condition of gearing (3afv', 'visually check the bolt connection (3afv', 'axial reduction measurement (3afv', 'tilting clearance measurement (3afv', 'visually check pinion condition (3afv', 'check pinion tooth clearance and backlash (3afv']",DOC-00000202;DOC-00000221,"Task: 'axial reduction measurement (3afv' - Manual: 3AFV6088330C_Slewing Bearing Maintenance.pdf (ID: DOC-00000202) - Pages: 4, 6
Task: 'tilting clearance measurement (3afv' - Manual: 3AFV6088330C_Slewing Bearing Maintenance.pdf (ID: DOC-00000202) - Pages: 2, 4, 6
Task: 'visually check the bolt connection (3afv' - Manual: 3AFV6130289B_JB1 Maintenance.pdf (ID: DOC-00000221) - Pages: 6"
70000 Hour/5 Yearly - Maintenance - AZIPOD Steeringmodul SB,A2008-2670-S,2670,"1. Replace slewing sealing (ABB) 
2. Inspect slewing bearing (replace condition based / ABB) 
","['replace slewing sealing', 'inspect slewing bearing']",DOC-00000202;DOC-00000204;DOC-00000207,"Task: 'inspect slewing bearing' - Manual: 3AFV6088330C_Slewing Bearing Maintenance.pdf (ID: DOC-00000202) - Pages: 3
Task: 'inspect slewing bearing' - Manual: 3AFV6108882C_Slip Ring Unit Operating and Maintenance Manual.pdf (ID: DOC-00000204) - Pages: 17
Task: 'replace slewing sealing' - Manual: 3AFV6088343C_Slewing Sealing Manual Greasing.pdf (ID: DOC-00000207) - Pages: 2"
